Name,Address,Stars (Out of 10),Delivery Charges,Delivery Charges Description,Services Fee,Timing
Little Italy Pizzeria,353 Duckworth St,10,$1.29 Delivery Fee,The $1.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),12:00 AM - 1:30 AM
Lucali Panzerotto & Pizzeria,353 Duckworth St,10,$1.29 Delivery Fee,The $1.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),12:00 AM - 1:30 AM
Amore Pizzeria,353 Duckworth St,9.7,$1.29 Delivery Fee,The $1.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),12:00 AM - 1:30 AM
Twisted Indian Wraps,353 Duckworth Street,9.6,$1.29 Delivery Fee,The $1.29 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $20.,A 10% service fee applies ($1.99 min - $1.99 max),12:00 AM - 1:00 AM
Dino's 2 For 1 Pizza,157 Bayfield St,9.0,$4.00 Delivery Fee,The $4.00 delivery fee is based on the drive time to your location.,NA,11:00 AM - 12:30 AM
ChungChun Rice Dog Cundles,307 Cundles Rd E,9.7,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $20.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 10:30 PM
Bootleg Tako,License #1201301,10,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 10:15 PM
Milano's Pizzeria & Wings,353 Duckworth St,9.3,$1.29 Delivery Fee,The $1.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),12:00 AM - 1:30 AM
Papa John's Pizza,40 Bell Farm Rd,9.3,$1.29 Delivery Fee,The $1.29 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 10:45 PM
Quik Chik,353 Duckworth St Unit 7,9.3,$1.49 Delivery Fee,The $1.49 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $20.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 10:15 PM
241 Pizza,110 Little Ave,10,$4.49 Delivery Fee Over $12,Delivery is $4.49 based on the drive time to your location. You must have a food and beverage subtotal over $12 to order.,NA,11:00 AM - 10:15 PM
Mumbai Central,477 Grove St E,9.1,$1.49 Delivery Fee,The $1.49 delivery fee is based on the drive time to your location. $0 Delivery Fee with a food & beverage subtotal over $20.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 11:15 PM
Bangers Gourmet Franks,55 Collier St,9.7,$1.79 Delivery Fee,The $1.79 delivery fee is based on the drive time to your location.,A 10% service fee applies ($1.99 min - $1.99 max),11:00 AM - 10:15 PM
Petro-Canada,448 Dunlop St W,9.7,$3.09 Delivery Fee Over $10,Delivery is $3.09 based on the drive time to your location. You must have a food and beverage subtotal over $10 to order.,A 10% service fee applies ($2.00 min - $5.00 max),12:00 AM - 2:30 AM
